Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2023,b3IaqEnA,28/11/2023,21:30,BRASIL - SÉRIE A,Vasco,Corinthians,RODADA 36,2,4,bet365,1.95,3.1,4.5,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.53,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62
2024,0dSG4g0H,29/04/2024,19:30,BRASIL - SÉRIE B,Mirassol,Ceará,RODADA 2,3,2,Betano.br,1.95,3.3,3.9,Betano.br,1.53,2.45,Betano.br,1.09,6.5,Betano.br,1.44,2.67,Betano.br,2.3,1.6,Betano.br,4.05,1.22,Betano.br,7.3,1.07,Betano.br,2.02,1.7
2024,UJvWbCrf,29/04/2024,20:00,BRASIL - BRASILEIRÃO BETANO,São Paulo,Palmeiras,RODADA 4,0,0,bet365,2.63,2.9,3.0,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.53,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67
2024,bLslytgn,29/06/2024,16:00,BRASIL - SÉRIE B,Coritiba,Vila Nova,RODADA 13,1,1,bet365,1.7,3.5,5.0,bet365,1.5,2.5,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.2,1.62
2024,z7ARJvOB,29/06/2024,17:00,BRASIL - SÉRIE B,Botafogo-SP,Sport,RODADA 13,1,1,bet365,3.0,2.9,2.63,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67
2024,zmOa37hT,29/06/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Cuiabá,Red Bull Bragantino,RODADA 13,1,1,bet365,2.7,3.1,2.8,bet365,1.53,2.38,bet365,1.1,7.0,bet365,1.5,2.63,bet365,2.4,1.53,bet365,4.5,1.2,bet365,10.0,1.06,bet365,2.0,1.75
2024,nDCq7kg4,29/06/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Vasco,Botafogo,RODADA 13,1,1,bet365,3.0,3.1,2.5,bet365,1.5,2.5,bet365,1.1,7.0,bet365,1.44,2.75,bet365,2.35,1.57,bet365,4.5,1.2,bet365,10.0,1.06,bet365,1.95,1.8
2024,WYudZJNb,29/06/2024,21:00,BRASIL - SÉRIE B,Ceará,Ituano,RODADA 13,4,2,bet365,1.38,4.75,7.5,bet365,1.36,3.0,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,2.2,1.62
2024,ITCs4jpm,29/07/2024,18:30,BRASIL - SÉRIE B,Paysandu,Novorizontino,RODADA 18,1,3,bet365,2.1,3.0,4.0,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.2,1.62
2024,CnMKkcsD,29/09/2024,11:00,BRASIL - BRASILEIRÃO BETANO,Juventude,Red Bull Bragantino,RODADA 28,1,1,bet365,2.63,3.1,2.88,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.7,bet365,3.75,1.29,bet365,8.0,1.08,bet365,1.8,1.95
